titre,entreprise,lieu,lien,query,location,date_scrape
Business Analyst,Infrabel,Anderlecht,https://be.indeed.com/rc/clk?jk=157ea2cfdb848b61&bb=4i5g6YWk1FS0BFhdcIe6cBMyXpw_W-wWOLb0h6876G1GJma_KP8CJPHTA94rePD7o1nE0ipIjj8vU-k8jJPCwVIdDurl7mhIMeEk4591a7JCPxzSq_E16m0_Vlf2q8S2&xkcb=SoDo67M3kXtMLYzNzJ0GbzkdCdPP&fccid=ddd0400dc6cb0b6c&vjs=3,data analyst,Belgique,2026-04-21 10:29
Senior Data Analyst,AEROW,Télétravail à Bruxelles,https://be.indeed.com/rc/clk?jk=2324232c89823544&bb=4i5g6YWk1FS0BFhdcIe6cBBHf5yMPIOXNkcuE3vI0LWKMexMjj2ceGJ6SmUI7J57YfClNE0ozt5r7DNjyfstvRvMBnSflcrLYgSDq-XEis2mD6wO1XvTE-mZagXywGpN&xkcb=SoB167M3kXtMLYzNzJ0FbzkdCdPP&fccid=f615869c963a999d&vjs=3,data analyst,Belgique,2026-04-21 10:29
Senior Python Developer (M/F/X),Acensi,Bruxelles,https://be.indeed.com/rc/clk?jk=7282be4349434a35&bb=2u2IBosjmVxGRNA1po5OHEuYdjiKxO6uW1ahJ9jZ80BdFZz0uVjKNdZTjP_9V0MDkQM0ZuH9rM06h2lIZAFIwdliiGVTwTiEz0QtXo3uwkM2IKPEG9IykmfsR-O3AhSP&xkcb=SoD467M3kXtLS1TF650LbzkdCdPP&fccid=0c75d0e2b945231d&vjs=3,python developer,Bruxelles,2026-04-21 10:29
Software Engineer Python H/F,Extia,1160 Bruxelles Auderghem,https://be.indeed.com/rc/clk?jk=98c707523f1f7ff5&bb=2u2IBosjmVxGRNA1po5OHCvAODFR7Kgf5cieFfsxS85GHo-MHxylKHzzPMHEgSMU738i1lm7rSgDtm9NAGOsiFE1TFLGuiBN3xzO1YQ0fMr8Mb9E5oa4qMeduUOLfTlG&xkcb=SoBM67M3kXtLS1TF650KbzkdCdPP&fccid=51f8790ad48982e0&vjs=3,python developer,Bruxelles,2026-04-21 10:29
BI Developer,Smals,Bruxelles,https://be.indeed.com/rc/clk?jk=f03d1f016dac7858&bb=2u2IBosjmVxGRNA1po5OHKKadELdUr5ucgF_U0NHV1LcGBs_obtMbNJHtXdpTFpd6kC-bbV7q4Sf8z2BEAUna4ZFIyWTeEFVHWGu70k2hpiONeT37_IB5ykEjNhzZT43&xkcb=SoDR67M3kXtLS1TF650JbzkdCdPP&fccid=06d3cbc8540df2a6&vjs=3,python developer,Bruxelles,2026-04-21 10:29
Développeur/se disposant de solides connaisances en Python (m/f/x),Travaillerpour.be / Werkenvoor.be,Etterbeek,https://be.indeed.com/rc/clk?jk=e41cf14ce762599b&bb=2u2IBosjmVxGRNA1po5OHAFK0JXDFHcgXZXBk9YDCYd-Yk_6ejtU8SoFJcFGJZww7d1OfGVEQoOR5pd3i7ddJddkkMPUAbBMr0sbAkYej_qF5_83eX-oyrRT3FPTbvCv&xkcb=SoBl67M3kXtLS1TF650IbzkdCdPP&fccid=325d7c89ae6752fe&vjs=3,python developer,Bruxelles,2026-04-21 10:29
Python Engineer / Test Automation Specialist,Mutualité Chrétienne,Schaarbeek,https://be.indeed.com/rc/clk?jk=e432200300f77ffa&bb=2u2IBosjmVxGRNA1po5OHDO2ja0aZxGnZkl9QaEKRUdAadQ-Cl0PFGZZg_w25391-2rrRJYMZnEEsrErf7BZPNCMnTo62_L-83NfwwCStzuOnQM19p5xe3DX5SJGHX1o5ri55hfWcW8%3D&xkcb=SoDr67M3kXtLS1TF650PbzkdCdPP&fccid=f97852dc144238b6&vjs=3,python developer,Bruxelles,2026-04-21 10:29
Python Engineer / Test Automation Specialist,Mutualité Chrétienne,Schaarbeek,https://be.indeed.com/viewjob?jk=456789abcdef0123,python developer,Bruxelles,2026-04-21 10:29
Power BI Developer & Administrator,Paradigm,Bruxelles,https://be.indeed.com/rc/clk?jk=b5410d56c48b1cb2&bb=2u2IBosjmVxGRNA1po5OHNW0lY_7bkw0KMTWc5XK0aM2rj96CAdHGM5Lv8uFZo-MDY9660_CWk82cYwXe8y0oE2VYaVLOvJz0-R8I0hdHuflsCAE0ehdZ3CZH3EftGEE&xkcb=SoBf67M3kXtLS1TF650ObzkdCdPP&fccid=756b56d5afcb7d62&vjs=3,python developer,Bruxelles,2026-04-21 10:29
Business Application Developer (.NET & Odoo),Embuild,Télétravail à Bruxelles,https://be.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CmGzI3U24-o34otkjFZi67HbiJsRYvr1xSi-T-nFie17AZXor4Ck1Rc43ITnRw7v6ZigA-wCazOO4RXW7JlnsuctwqNmF3RIDqKORaRF8x5P_A7E-uvqrTUxuyoBvLAyFGUbeYytmfRobx5ndwILDM5N0rsZglinamLYgrYGW_G5ly8hF8uYH_hmtX-XzVePmEF-rMsf9ZvbrX8QWBc2Iv-J3CWI7Rw8HPJ9lngN3rFY92zxgpBvqq1dpSuEv7lfsOwcfQzBXklm-EDt1TPdyfTFh9bszC6CWqxtLUMLYOtg8j15Xa6CUNJna03PL5S9GfyPjLfClHDLyTC1QonoadxzfVSMvN7fU-xPbXMU0rG_BqnDDxU0EssU2KvYtFrHF2Jfja-DYkxfFJIgtWQQIsXssvxfkgel_ky0P0nepHZrZR4cdJZ8srUaWGqj6fGlvEUoMYl8oJECkvuXRwEHx4h9Q-O60CEdu1c4OZrUowedCO5zT55qzMZxeJ_ZDwoJQMNxIwXIayPYfd-0Tnmvn3VJ582_4tSBveuL2gwgMzv2fSH49NgRTk5gO8EBnkqWjpjK8_eBP6XPtce9SmPHpAIvOfd2t-2C2kFSjSD2Zz9GO-p-hLOL0freubsDNatl9osYIlGht-vRpahGDgujikMsmM1F3HGwLYZaSrgc37pbKyNg6ZgrszAQ49tfcQ-rtn_hEqrqKBjQ==&xkcb=SoA26_M3kXtLS1TF650NbzkdCdPP&camk=C3EPSzFlQw_sczc4_ouAPg==&p=6&fvj=0&vjs=3,python developer,Bruxelles,2026-04-21 10:29
